Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Age characteristics,      85 to 89 years,,320,,135,,185,,482525,,185535,,296990,
Age characteristics,      90 to 94 years,,130,,45,,85,,223510,,68675,,154835,
Age characteristics,      95 to 99 years,,35,,10,,20,,56525,,13240,,43280,
Age characteristics,      100 years and over,,5,,0,,5,,8230,,1340,,6890,
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100,,100,,100,,100,,100,,100,
Age characteristics,  0 to 14 years,,17.4,,19.1,,15.9,,16.6,,17.3,,15.9,
Age characteristics,  15 to 64 years,,63.5,,63.5,,63.5,,66.5,,67.1,,66,
Age characteristics,  65 years and over,,19.1,,17.3,,20.7,,16.9,,15.6,,18.1,
Age characteristics,    85 years and over,,3.2,,2.7,,3.7,,2.2,,1.6,,2.8,
Age characteristics,Average age of the population,,42.1,,40.7,,43.4,,41,,40.1,,41.9,
Age characteristics,Median age of the population,,44.1,,42.7,,45.1,,41.2,,40.2,,42.2,
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,5,6190,,,...,,...,14072080,,,...,,...
Household and dwelling characteristics,  Single-detached house,,3005,,,...,,...,7541495,,,...,,...
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,1565,,,...,,...,1391040,,,...,,...
Household and dwelling characteristics,  Other attached dwelling,6,1620,,,...,,...,4949795,,,...,,...
Household and dwelling characteristics,    Semi-detached house,,215,,,...,,...,698800,,,...,,...
Household and dwelling characteristics,    Row house,,195,,,...,,...,891305,,,...,,...
Household and dwelling characteristics,    Apartment or flat in a duplex,,100,,,...,,...,784300,,,...,,...
Household and dwelling characteristics,    Apartment in a building that has fewer than five storeys,,1110,,,...,,...,2539390,,,...,,...
Household and dwelling characteristics,    Other single-attached house,,0,,,...,,...,36005,,,...,,...
Household and dwelling characteristics,  Movable dwelling,7,0,,,...,,...,189755,,,...,,...
Household and dwelling characteristics,Total - Private households by household size - 100% data,8,6190,,,...,,...,14072080,,,...,,...
Household and dwelling characteristics,  1 person,,1910,,,...,,...,3969790,,,...,,...
Household and dwelling characteristics,  2 persons,,1830,,,...,,...,4834605,,,...,,...
Household and dwelling characteristics,  3 persons,,845,,,...,,...,2140640,,,...,,...
Household and dwelling characteristics,  4 persons,,1035,,,...,,...,1946275,,,...,,...
Household and dwelling characteristics,  5 or more persons,,570,,,...,,...,1180770,,,...,,...
Household and dwelling characteristics,Number of persons in private households,,15275,,,...,,...,34460060,,,...,,...
Household and dwelling characteristics,Average household size,,2.5,,,...,,...,2.4,,,...,,...
Marital status,Total - Marital status for the population aged 15 years and over - 100% data,9,12660,,5870,,6790,,29312160,,14271280,,15040885,
Marital status,  Married or living common law,,7580,,3765,,3815,,16893720,,8452135,,8441585,
Marital status,    Married,,6995,,3470,,3525,,13383455,,6693465,,6689990,
Marital status,    Living common law,,585,,295,,290,,3510265,,1758670,,1751590,
Marital status,  Not married and not living common law,,5080,,2105,,2980,,12418440,,5819140,,6599300,
Marital status,    Never married,,3525,,1700,,1820,,8254340,,4444425,,3809915,
Marital status,    Separated,,235,,80,,155,,718295,,309905,,408400,
Marital status,    Divorced,,685,,205,,480,,1816005,,725535,,1090470,
Marital status,    Widowed,,640,,120,,520,,1629800,,339280,,1290525,
Family characteristics,Total - Census families in private households by family size - 100% data,10,4185,,,...,,...,9840730,,,...,,...
Family characteristics,  2 persons,,1805,,,...,,...,5007790,,,...,,...
Family characteristics,  3 persons,,830,,,...,,...,2107830,,,...,,...
Family characteristics,  4 persons,,1045,,,...,,...,1909935,,,...,,...
Family characteristics,  5 or more persons,,500,,,...,,...,815170,,,...,,...
Family characteristics,Average size of census families,,3.1,,,...,,...,2.9,,,...,,...
Family characteristics,Total number of census families in private households - 100% data,11,4190,,,...,,...,9840730,,,...,,...
Family characteristics,  Total couple families,,3710,,,...,,...,8227925,,,...,,...
Family characteristics,    Married couples,,3420,,,...,,...,6474005,,,...,,...
Family characteristics,    Common-law couples,,290,,,...,,...,1753920,,,...,,...
Family characteristics,  Total lone-parent families by sex of parent,,475,,,...,,...,1612805,,,...,,...
Family characteristics,    Female parent,,390,,,...,,...,1262340,,,...,,...
Family characteristics,    Male parent,,80,,,...,,...,350465,,,...,,...
Family characteristics,Total - Couple census families in private households - 100% data,,3715,,,...,,...,8227925,,,...,,...
Family characteristics,  Couples without children,,1520,,,...,,...,4024305,,,...,,...
Family characteristics,  Couples with children,,2195,,,...,,...,4203615,,,...,,...
Family characteristics,    1 child,,690,,,...,,...,1650165,,,...,,...
Family characteristics,    2 children,,1005,,,...,,...,1783080,,,...,,...
Family characteristics,    3 or more children,,500,,,...,,...,770375,,,...,,...
Family characteristics,Total - Lone-parent census families in private households - 100% data,,475,,,...,,...,1612805,,,...,,...
Family characteristics,  1 child,,285,,,...,,...,983485,,,...,,...
Family characteristics,  2 children,,145,,,...,,...,457670,,,...,,...
Family characteristics,  3 or more children,,45,,,...,,...,171655,,,...,,...
Family characteristics,Total - Persons not in census families in private households - 100% data,,2345,,835,,1510,,6107260,,2941395,,3165865,
Household type,Total - Private households by household type - 100% data,12,6190,,,...,,...,14072075,,,...,,...
Household type,  One-census-family households,,4115,,,...,,...,9218225,,,...,,...
Household type,    Without children in a census family,13,1490,,,...,,...,3782095,,,...,,...
Household type,    With children in a census family,14,2625,,,...,,...,5436135,,,...,,...
Household type,  Multiple-census-family households,,35,,,...,,...,301715,,,...,,...
Household type,  Non-census-family households,,2035,,,...,,...,4552135,,,...,,...
Household type,    One-person households,,1910,,,...,,...,3969790,,,...,,...
Household type,    Two-or-more person non-census-family households,,130,,,...,,...,582350,,,...,,...
Knowledge of official languages,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,15,15330,,7260,,8070,,34767255,,17101170,,17666080,
Knowledge of official languages,  English only,,12300,,5940,,6360,,23757525,,11838075,,11919455,
Knowledge of official languages,  French only,,10,,5,,0,,4144685,,1925845,,2218840,
Knowledge of official languages,  English and French,,2860,,1250,,1605,,6216065,,3071325,,3144740,
Knowledge of official languages,  Neither English nor French,,160,,60,,100,,648970,,265920,,383045,
First official language spoken,Total - First official language spoken for the total population excluding institutional residents - 100% data,16,15330,,7260,,8070,,34767250,,17101165,,17666085,
First official language spoken,  English,,14700,,6985,,7715,,26007500,,12852330,,13155165,
First official language spoken,  French,,350,,160,,190,,7705755,,3780105,,3925650,
First official language spoken,  English and French,,125,,55,,70,,417485,,209130,,208355,
First official language spoken,  Neither English nor French,,160,,55,,100,,636515,,259600,,376910,
First official language spoken,Official language minority (number),17,410,,190,,225,,7914495,,3884670,,4029825,
First official language spoken,Official language minority (percentage),17,2.7,,2.6,,2.8,,22.8,,22.7,,22.8,
Mother tongue,Total - Mother tongue for the total population excluding institutional residents - 100% data,18,15330,,7260,,8070,,34767255,,17101170,,17666085,
Mother tongue,  Single responses,,15045,,7135,,7910,,33948620,,16702840,,17245775,
Mother tongue,    Official languages,,11880,,5780,,6100,,26627555,,13201620,,13425940,
Mother tongue,      English,,11555,,5630,,5925,,19460850,,9680125,,9780725,
Mother tongue,      French,,330,,150,,175,,7166705,,3521495,,3645215,
Mother tongue,    Non-official languages,,3165,,1350,,1810,,7321065,,3501220,,3819840,
Mother tongue,      Aboriginal languages,,0,,0,,0,,195700,,94795,,100900,
Mother tongue,        Algonquian languages,,0,,5,,0,,130450,,62930,,67520,
Mother tongue,          Blackfoot,,0,,0,,0,,2815,,1325,,1490,
Mother tongue,          Cree-Montagnais languages,,0,,0,,0,,88445,,42920,,45530,
Mother tongue,            Atikamekw,,0,,0,,0,,6150,,3135,,3015,
Mother tongue,            Montagnais (Innu),,0,,0,,0,,10230,,4885,,5350,
Mother tongue,            Moose Cree,,0,,0,,0,,100,,50,,55,
Mother tongue,            Naskapi,,0,,0,,0,,1205,,590,,620,
Mother tongue,            Northern East Cree,,0,,0,,0,,315,,125,,190,
Mother tongue,            Plains Cree,,0,,0,,0,,3065,,1360,,1710,
Mother tongue,            Southern East Cree,,0,,0,,0,,45,,20,,25,
Mother tongue,            Swampy Cree,,0,,0,,0,,1440,,585,,850,
Mother tongue,            Woods Cree,,0,,0,,0,,1840,,865,,975,
Mother tongue,            Cree; n.o.s.,,0,,0,,0,,64050,,31305,,32745,
Mother tongue,          Eastern Algonquian languages,,0,,0,,0,,6990,,3310,,3680,
Mother tongue,            Malecite,,0,,0,,0,,305,,140,,160,
Mother tongue,            Mi'kmaq,,0,,0,,0,,6690,,3170,,3520,
Mother tongue,          Ojibway-Potawatomi languages,,0,,0,,0,,32150,,15350,,16800,
Mother tongue,            Algonquin,,0,,0,,0,,1260,,590,,670,
Mother tongue,            Ojibway,,0,,0,,0,,17890,,8440,,9450,
Mother tongue,            Oji-Cree,,0,,0,,0,,12855,,6260,,6595,
Mother tongue,            Ottawa (Odawa),,0,,0,,0,,150,,65,,85,
Mother tongue,          Algonquian languages; n.i.e.,,0,,0,,0,,45,,25,,20,
Mother tongue,        Athabaskan languages,,0,,0,,0,,17365,,8325,,9045,
Mother tongue,          Northern Athabaskan languages,,0,,0,,0,,17315,,8310,,9010,
Mother tongue,            Babine (Wetsuwet'en),,0,,0,,0,,110,,55,,60,
Mother tongue,            Beaver,,0,,0,,0,,190,,85,,105,
Mother tongue,            Carrier,,0,,0,,0,,1025,,465,,565,
Mother tongue,            Chilcotin,,0,,0,,0,,660,,295,,360,
Mother tongue,            Dene,,0,,0,,0,,10700,,5185,,5515,
Mother tongue,            Dogrib (Tlicho),,0,,0,,0,,1645,,840,,815,
Mother tongue,            Gwich'in,,0,,0,,0,,260,,110,,145,
Mother tongue,            Sarsi (Sarcee),,0,,0,,0,,80,,25,,50,
Mother tongue,            Sekani,,0,,0,,0,,90,,45,,45,
Mother tongue,            Slavey-Hare languages,,0,,0,,0,,1995,,950,,1045,
Mother tongue,              North Slavey (Hare),,0,,0,,0,,765,,365,,400,
Mother tongue,              South Slavey,,0,,0,,0,,945,,455,,495,
Mother tongue,              Slavey; n.o.s.,,0,,0,,0,,280,,130,,150,
Mother tongue,            Tahltan languages,,0,,0,,0,,270,,135,,140,
Mother tongue,              Kaska (Nahani),,0,,0,,0,,180,,90,,90,
Mother tongue,              Tahltan,,0,,0,,0,,95,,40,,50,
Mother tongue,            Tutchone languages,,0,,0,,0,,290,,120,,170,
Mother tongue,              Northern Tutchone,,0,,0,,0,,215,,90,,135,
Mother tongue,              Southern Tutchone,,0,,0,,0,,70,,30,,40,
Mother tongue,          Athabaskan languages; n.i.e.,,0,,0,,0,,50,,20,,35,
Mother tongue,        Haida,,0,,0,,0,,75,,35,,40,
Mother tongue,        Inuit languages,,0,,0,,0,,36545,,18100,,18445,
Mother tongue,          Inuinnaqtun (Inuvialuktun),,0,,0,,0,,1025,,445,,575,
Mother tongue,          Inuktitut,,0,,0,,0,,35215,,17530,,17680,
Mother tongue,          Inuit languages; n.i.e.,,0,,0,,0,,315,,125,,185,
Mother tongue,        Iroquoian languages,,0,,0,,0,,1115,,485,,635,
Mother tongue,          Cayuga,,0,,0,,0,,45,,20,,20,
Mother tongue,          Mohawk,,0,,0,,0,,980,,430,,555,
Mother tongue,          Oneida,,0,,0,,0,,55,,20,,40,
Mother tongue,          Iroquoian languages; n.i.e.,,0,,0,,0,,35,,15,,20,
Mother tongue,        Kutenai,,0,,0,,0,,105,,55,,55,
Mother tongue,        Michif,,0,,0,,0,,465,,230,,235,
Mother tongue,        Salish languages,,0,,0,,0,,2305,,1130,,1180,
Mother tongue,          Comox,,0,,0,,0,,80,,45,,40,
Mother tongue,          Halkomelem,,0,,0,,0,,475,,225,,245,
Mother tongue,          Lillooet,,0,,0,,0,,315,,155,,155,
Mother tongue,          Okanagan,,0,,0,,0,,270,,135,,135,
Mother tongue,          Shuswap (Secwepemctsin),,0,,0,,0,,445,,225,,220,
Mother tongue,          Squamish,,0,,0,,0,,40,,20,,20,
Mother tongue,          Straits,,0,,0,,0,,80,,40,,40,
Mother tongue,          Thompson (Ntlakapamux),,0,,0,,0,,335,,150,,185,
Mother tongue,          Salish languages; n.i.e.,,0,,0,,0,,255,,135,,125,
Mother tongue,        Siouan languages,,0,,0,,0,,4285,,2070,,2220,
Mother tongue,          Dakota,,0,,0,,0,,1215,,570,,635,
Mother tongue,          Stoney,,0,,0,,0,,3025,,1465,,1555,
Mother tongue,          Siouan languages; n.i.e.,,0,,0,,0,,55,,30,,25,
Mother tongue,        Tlingit,,0,,0,,0,,95,,40,,55,
Mother tongue,        Tsimshian languages,,0,,0,,0,,1480,,730,,755,
Mother tongue,          Gitxsan (Gitksan),,0,,0,,0,,880,,435,,445,
Mother tongue,          Nisga'a,,0,,0,,0,,400,,200,,200,
Mother tongue,          Tsimshian,,0,,0,,0,,200,,90,,110,
Mother tongue,        Wakashan languages,,0,,0,,0,,805,,370,,435,
Mother tongue,          Haisla,,0,,0,,0,,90,,40,,50,
Mother tongue,          Heiltsuk,,0,,0,,0,,95,,40,,55,
Mother tongue,          Kwakiutl (Kwak'wala),,0,,0,,0,,325,,145,,185,
Mother tongue,          Nuu-chah-nulth (Nootka),,0,,0,,0,,285,,135,,140,
Mother tongue,          Wakashan languages; n.i.e.,,0,,0,,0,,10,,5,,0,
Mother tongue,        Aboriginal languages; n.o.s.,,0,,0,,0,,585,,295,,295,
Mother tongue,      Non-Aboriginal languages,,3165,,1355,,1815,,7125365,,3406425,,3718945,
Mother tongue,        Afro-Asiatic languages,,105,,55,,50,,575365,,298060,,277300,
Mother tongue,          Berber languages,,0,,0,,0,,22135,,11865,,10270,
Mother tongue,            Kabyle,,0,,0,,0,,13150,,6995,,6155,
Mother tongue,            Berber languages; n.i.e.,,0,,0,,0,,8985,,4865,,4115,
Mother tongue,          Cushitic languages,,5,,5,,5,,42885,,20095,,22790,
Mother tongue,            Bilen,,0,,0,,0,,805,,455,,350,
Mother tongue,            Oromo,,0,,0,,0,,4960,,2560,,2400,
Mother tongue,            Somali,,5,,5,,5,,36755,,16895,,19865,
Mother tongue,            Cushitic languages; n.i.e.,,0,,0,,0,,365,,195,,170,
Mother tongue,          Semitic languages,,100,,50,,50,,509190,,265465,,243725,
Mother tongue,            Amharic,,10,,0,,5,,22465,,10720,,11745,
Mother tongue,            Arabic,,50,,30,,25,,419890,,220785,,199105,
Mother tongue,            Assyrian Neo-Aramaic,,0,,5,,0,,16070,,7910,,8160,
Mother tongue,            Chaldean Neo-Aramaic,,0,,0,,0,,5545,,2780,,2770,
Mother tongue,            Harari,,5,,0,,0,,1320,,635,,685,
Mother tongue,            Hebrew,,35,,15,,20,,19530,,10480,,9045,
Mother tongue,            Maltese,,0,,0,,0,,5565,,2765,,2800,
Mother tongue,            Tigrigna,,0,,0,,0,,16650,,8310,,8340,
Mother tongue,            Semitic languages; n.i.e.,,0,,0,,0,,2155,,1085,,1070,
Mother tongue,          Afro-Asiatic languages; n.i.e.,,0,,0,,0,,1155,,635,,520,
Mother tongue,        Austro-Asiatic languages,,35,,15,,20,,176725,,81810,,94920,
Mother tongue,          Khmer (Cambodian),,5,,0,,0,,20130,,9270,,10860,
Mother tongue,          Vietnamese,,35,,10,,20,,156425,,72470,,83955,
Mother tongue,          Austro-Asiatic languages; n.i.e,,0,,0,,0,,170,,65,,100,
Mother tongue,        Austronesian languages,,245,,75,,170,,511480,,211580,,299900,
Mother tongue,          Bikol,,0,,0,,0,,1790,,790,,1000,
Mother tongue,          Cebuano,,10,,0,,5,,19890,,7930,,11960,
Mother tongue,          Fijian,,0,,0,,0,,745,,400,,345,
Mother tongue,          Hiligaynon,,5,,0,,5,,6885,,2680,,4205,
Mother tongue,          Ilocano,,15,,10,,10,,26345,,10620,,15720,
Mother tongue,          Malagasy,,0,,0,,0,,1430,,665,,760,
Mother tongue,          Malay,,10,,5,,5,,12275,,5255,,7020,
Mother tongue,          Pampangan (Kapampangan; Pampango),,5,,5,,5,,4040,,1865,,2175,
Mother tongue,          Pangasinan,,0,,0,,0,,1390,,590,,800,
Mother tongue,          Tagalog (Pilipino; Filipino),,195,,55,,135,,431380,,178575,,252810,
Mother tongue,          Waray-Waray,,0,,0,,0,,1110,,430,,675,
Mother tongue,          Austronesian languages; n.i.e.,,0,,0,,0,,4195,,1770,,2425,
Mother tongue,        Creole languages,,5,,0,,5,,72125,,32310,,39820,
Mother tongue,          Haitian Creole,,0,,0,,0,,3030,,1445,,1590,
Mother tongue,          Creole; n.o.s.,,0,,0,,0,,64105,,28455,,35660,
Mother tongue,          Creole languages; n.i.e.,,0,,5,,5,,4985,,2410,,2575,
Mother tongue,        Dravidian languages,,15,,10,,10,,189405,,94765,,94640,
Mother tongue,          Kannada,,0,,0,,0,,3970,,2040,,1935,
Mother tongue,          Malayalam,,0,,0,,0,,28570,,14770,,13800,
Mother tongue,          Tamil,,15,,5,,10,,140720,,69080,,71640,
Mother tongue,          Telugu,,0,,0,,0,,15655,,8640,,7020,
Mother tongue,          Dravidian languages; n.i.e.,,0,,0,,0,,490,,240,,250,
Mother tongue,        Hmong-Mien languages,,0,,0,,0,,795,,395,,405,
Mother tongue,        Indo-European languages,,1720,,770,,955,,3877330,,1889400,,1987930,
Mother tongue,          Albanian,,20,,15,,5,,26890,,13610,,13285,
Mother tongue,          Armenian,,25,,10,,15,,33455,,16270,,17185,
Mother tongue,          Balto-Slavic languages,,455,,200,,255,,701975,,323640,,378340,
Mother tongue,            Baltic languages,,20,,10,,15,,12530,,5315,,7215,
Mother tongue,              Latvian,,15,,5,,10,,5455,,2350,,3105,
Mother tongue,              Lithuanian,,10,,5,,0,,7075,,2965,,4115,
Mother tongue,            Slavic languages,,425,,190,,240,,689450,,318325,,371115,
Mother tongue,              Belarusan,,0,,0,,0,,810,,385,,430,
Mother tongue,              Bosnian,,0,,0,,0,,12210,,6035,,6180,
Mother tongue,              Bulgarian,,15,,5,,10,,20025,,9675,,10345,
Mother tongue,              Croatian,,25,,15,,10,,48200,,23540,,24665,
Mother tongue,              Czech,,30,,15,,15,,22290,,10525,,11765,
Mother tongue,              Macedonian,,20,,10,,15,,16775,,8050,,8725,
Mother tongue,              Polish,,60,,25,,35,,181710,,82435,,99275,
Mother tongue,              Russian,,175,,70,,100,,188255,,85400,,102855,
Mother tongue,              Serbian,,50,,25,,20,,57350,,28535,,28815,
Mother tongue,              Serbo-Croatian,,10,,5,,10,,9555,,4565,,4985,
Mother tongue,              Slovak,,10,,5,,5,,17580,,8075,,9510,
Mother tongue,              Slovene (Slovenian),,15,,5,,10,,9790,,4415,,5370,
Mother tongue,              Ukrainian,,20,,5,,15,,102485,,45440,,57040,
Mother tongue,              Slavic languages; n.i.e.,,0,,0,,0,,2415,,1255,,1165,
Mother tongue,          Celtic languages,,5,,0,,0,,2690,,1335,,1360,
Mother tongue,            Scottish Gaelic,,0,,0,,0,,1090,,540,,550,
Mother tongue,            Welsh,,5,,0,,5,,1075,,495,,575,
Mother tongue,            Celtic languages; n.i.e.,,0,,0,,0,,530,,295,,235,
Mother tongue,          Germanic languages,,225,,100,,125,,538765,,258410,,280350,
Mother tongue,            Afrikaans,,5,,5,,5,,10265,,5115,,5145,
Mother tongue,            Danish,,5,,0,,5,,12630,,6245,,6390,
Mother tongue,            Dutch,,35,,10,,20,,99020,,48200,,50820,
Mother tongue,            Frisian,,0,,0,,0,,2100,,1095,,1005,
Mother tongue,            German,,135,,60,,75,,384035,,183215,,200820,
Mother tongue,            Icelandic,,0,,0,,0,,1285,,600,,685,
Mother tongue,            Norwegian,,0,,0,,5,,4615,,2170,,2445,
Mother tongue,            Swedish,,10,,5,,0,,6840,,3015,,3825,
Mother tongue,            Vlaams (Flemish),,0,,0,,0,,3895,,1730,,2165,
Mother tongue,            Yiddish,,35,,15,,20,,13555,,6750,,6800,
Mother tongue,            Germanic languages; n.i.e.,,0,,0,,0,,525,,280,,240,
Mother tongue,          Greek,,75,,35,,45,,106525,,53350,,53170,
Mother tongue,          Indo-Iranian languages,,405,,195,,205,,1312750,,664120,,648630,
Mother tongue,            Indo-Aryan languages,,105,,50,,50,,1064760,,538530,,526235,
Mother tongue,              Bengali,,5,,5,,5,,73125,,37410,,35720,
Mother tongue,              Gujarati,,15,,10,,5,,108780,,55105,,53670,
Mother tongue,              Hindi,,30,,10,,15,,110640,,55880,,54765,
Mother tongue,              Kashmiri,,0,,0,,0,,565,,300,,265,
Mother tongue,              Konkani,,0,,0,,5,,3330,,1625,,1710,
Mother tongue,              Marathi,,5,,5,,5,,8295,,4300,,3995,
Mother tongue,              Nepali,,0,,5,,5,,18275,,9230,,9045,
Mother tongue,              Oriya (Odia),,0,,0,,0,,1055,,560,,495,
Mother tongue,              Punjabi (Panjabi),,10,,5,,10,,501680,,253515,,248160,
Mother tongue,              Sindhi,,5,,0,,5,,11860,,5605,,6260,
Mother tongue,              Sinhala (Sinhalese),,0,,0,,0,,16335,,8050,,8285,
Mother tongue,              Urdu,,25,,10,,15,,210815,,106960,,103860,
Mother tongue,            Iranian languages,,305,,150,,155,,242805,,122835,,119970,
Mother tongue,              Kurdish,,0,,0,,0,,11705,,6345,,5355,
Mother tongue,              Pashto,,0,,0,,0,,16910,,8760,,8145,
Mother tongue,              Persian (Farsi),,300,,145,,155,,214200,,107725,,106470,
Mother tongue,            Indo-Iranian languages; n.i.e.,,0,,0,,0,,5180,,2755,,2425,
Mother tongue,          Italic (Romance) languages,,510,,215,,300,,1154270,,558660,,595615,
Mother tongue,            Catalan,,0,,0,,0,,865,,440,,425,
Mother tongue,            Italian,,160,,70,,95,,375635,,184415,,191220,
Mother tongue,            Portuguese,,70,,30,,40,,221540,,106630,,114910,
Mother tongue,            Romanian,,65,,25,,40,,96665,,46195,,50470,
Mother tongue,            Spanish,,220,,90,,125,,458850,,220605,,238245,
Mother tongue,            Italic (Romance) languages; n.i.e.,,0,,0,,0,,720,,380,,340,
Mother tongue,        Japanese,,40,,15,,25,,43640,,14790,,28855,
Mother tongue,        Kartvelian languages,,0,,0,,5,,1715,,910,,805,
Mother tongue,          Georgian,,0,,0,,5,,1715,,910,,805,
Mother tongue,        Korean,,200,,75,,125,,153425,,70310,,83115,
Mother tongue,        Mongolic languages,,0,,0,,0,,1575,,690,,885,
Mother tongue,          Mongolian,,0,,0,,0,,1575,,690,,880,
Mother tongue,        Niger-Congo languages,,5,,0,,10,,91375,,45075,,46305,
Mother tongue,          Akan (Twi),,0,,0,,0,,13455,,6490,,6970,
Mother tongue,          Bamanankan,,0,,0,,0,,1535,,815,,720,
Mother tongue,          Edo,,0,,0,,0,,1670,,770,,900,
Mother tongue,          Ewe,,0,,0,,0,,1760,,950,,805,
Mother tongue,          Fulah (Pular; Pulaar; Fulfulde),,0,,0,,0,,2825,,1495,,1335,
Mother tongue,          Ga,,0,,0,,0,,920,,445,,470,
Mother tongue,          Ganda,,0,,0,,0,,1295,,625,,665,
Mother tongue,          Igbo,,0,,0,,0,,4235,,2265,,1970,
Mother tongue,          Lingala,,0,,0,,0,,3810,,1785,,2025,
Mother tongue,          Rundi (Kirundi),,0,,0,,0,,5845,,2785,,3060,
Mother tongue,          Kinyarwanda (Rwanda),,0,,0,,0,,5250,,2355,,2895,
Mother tongue,          Shona,,0,,0,,0,,3180,,1520,,1665,
Mother tongue,          Swahili,,0,,0,,0,,13370,,6385,,6990,
Mother tongue,          Wolof,,0,,0,,0,,3990,,2170,,1820,
Mother tongue,          Yoruba,,5,,0,,0,,9085,,4785,,4300,
Mother tongue,          Niger-Congo languages; n.i.e.,,5,,0,,5,,19135,,9435,,9695,
Mother tongue,        Nilo-Saharan languages,,0,,0,,0,,5870,,3025,,2845,
Mother tongue,          Dinka,,0,,0,,0,,2120,,1115,,1000,
Mother tongue,          Nilo-Saharan languages; n.i.e.,,0,,0,,0,,3755,,1910,,1840,
Mother tongue,        Sign languages,,0,,0,,0,,7500,,3925,,3575,
Mother tongue,          American Sign Language,,0,,0,,0,,2685,,1320,,1360,
Mother tongue,          Quebec Sign Language,,0,,0,,0,,695,,340,,355,
Mother tongue,          Sign languages; n.i.e,,0,,0,,0,,4120,,2265,,1860,
Mother tongue,        Sino-Tibetan languages,,615,,255,,360,,1269215,,589570,,679645,
Mother tongue,          Chinese languages,,620,,260,,355,,1253360,,581650,,671715,
Mother tongue,            Cantonese,,255,,110,,150,,565270,,262865,,302405,
Mother tongue,            Hakka,,5,,0,,5,,10910,,4900,,6015,
Mother tongue,            Mandarin,,295,,125,,170,,592040,,274630,,317410,
Mother tongue,            Min Dong,,5,,5,,5,,1230,,580,,650,
Mother tongue,            Min Nan (Chaochow; Teochow; Fukien; Taiwanese),,20,,10,,10,,31795,,14450,,17350,
Mother tongue,            Wu (Shanghainese),,10,,0,,10,,12915,,5780,,7140,
Mother tongue,            Chinese; n.o.s.,,25,,10,,15,,38580,,18165,,20410,
Mother tongue,            Chinese languages; n.i.e.,,0,,0,,0,,610,,275,,335,
Mother tongue,          Tibeto-Burman languages,,5,,0,,5,,15850,,7925,,7935,
Mother tongue,            Burmese,,5,,0,,0,,3585,,1795,,1790,
Mother tongue,            Karenic languages,,0,,0,,0,,4705,,2355,,2350,
Mother tongue,            Tibetan,,0,,0,,0,,6165,,3080,,3080,
