Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Mother tongue,          Cree-Montagnais languages,,,x,,x,,x,88445,,42920,,45530,
Mother tongue,            Atikamekw,,,x,,x,,x,6150,,3135,,3015,
Mother tongue,            Montagnais (Innu),,,x,,x,,x,10230,,4885,,5350,
Mother tongue,            Moose Cree,,,x,,x,,x,100,,50,,55,
Mother tongue,            Naskapi,,,x,,x,,x,1205,,590,,620,
Mother tongue,            Northern East Cree,,,x,,x,,x,315,,125,,190,
Mother tongue,            Plains Cree,,,x,,x,,x,3065,,1360,,1710,
Mother tongue,            Southern East Cree,,,x,,x,,x,45,,20,,25,
Mother tongue,            Swampy Cree,,,x,,x,,x,1440,,585,,850,
Mother tongue,            Woods Cree,,,x,,x,,x,1840,,865,,975,
Mother tongue,            Cree; n.o.s.,,,x,,x,,x,64050,,31305,,32745,
Mother tongue,          Eastern Algonquian languages,,,x,,x,,x,6990,,3310,,3680,
Mother tongue,            Malecite,,,x,,x,,x,305,,140,,160,
Mother tongue,            Mi'kmaq,,,x,,x,,x,6690,,3170,,3520,
Mother tongue,          Ojibway-Potawatomi languages,,,x,,x,,x,32150,,15350,,16800,
Mother tongue,            Algonquin,,,x,,x,,x,1260,,590,,670,
Mother tongue,            Ojibway,,,x,,x,,x,17890,,8440,,9450,
Mother tongue,            Oji-Cree,,,x,,x,,x,12855,,6260,,6595,
Mother tongue,            Ottawa (Odawa),,,x,,x,,x,150,,65,,85,
Mother tongue,          Algonquian languages; n.i.e.,,,x,,x,,x,45,,25,,20,
Mother tongue,        Athabaskan languages,,,x,,x,,x,17365,,8325,,9045,
Mother tongue,          Northern Athabaskan languages,,,x,,x,,x,17315,,8310,,9010,
Mother tongue,            Babine (Wetsuwet'en),,,x,,x,,x,110,,55,,60,
Mother tongue,            Beaver,,,x,,x,,x,190,,85,,105,
Mother tongue,            Carrier,,,x,,x,,x,1025,,465,,565,
Mother tongue,            Chilcotin,,,x,,x,,x,660,,295,,360,
Mother tongue,            Dene,,,x,,x,,x,10700,,5185,,5515,
Mother tongue,            Dogrib (Tlicho),,,x,,x,,x,1645,,840,,815,
Mother tongue,            Gwich'in,,,x,,x,,x,260,,110,,145,
Mother tongue,            Sarsi (Sarcee),,,x,,x,,x,80,,25,,50,
Mother tongue,            Sekani,,,x,,x,,x,90,,45,,45,
Mother tongue,            Slavey-Hare languages,,,x,,x,,x,1995,,950,,1045,
Mother tongue,              North Slavey (Hare),,,x,,x,,x,765,,365,,400,
Mother tongue,              South Slavey,,,x,,x,,x,945,,455,,495,
Mother tongue,              Slavey; n.o.s.,,,x,,x,,x,280,,130,,150,
Mother tongue,            Tahltan languages,,,x,,x,,x,270,,135,,140,
Mother tongue,              Kaska (Nahani),,,x,,x,,x,180,,90,,90,
Mother tongue,              Tahltan,,,x,,x,,x,95,,40,,50,
Mother tongue,            Tutchone languages,,,x,,x,,x,290,,120,,170,
Mother tongue,              Northern Tutchone,,,x,,x,,x,215,,90,,135,
Mother tongue,              Southern Tutchone,,,x,,x,,x,70,,30,,40,
Mother tongue,          Athabaskan languages; n.i.e.,,,x,,x,,x,50,,20,,35,
Mother tongue,        Haida,,,x,,x,,x,75,,35,,40,
Mother tongue,        Inuit languages,,,x,,x,,x,36545,,18100,,18445,
Mother tongue,          Inuinnaqtun (Inuvialuktun),,,x,,x,,x,1025,,445,,575,
Mother tongue,          Inuktitut,,,x,,x,,x,35215,,17530,,17680,
Mother tongue,          Inuit languages; n.i.e.,,,x,,x,,x,315,,125,,185,
Mother tongue,        Iroquoian languages,,,x,,x,,x,1115,,485,,635,
Mother tongue,          Cayuga,,,x,,x,,x,45,,20,,20,
Mother tongue,          Mohawk,,,x,,x,,x,980,,430,,555,
Mother tongue,          Oneida,,,x,,x,,x,55,,20,,40,
Mother tongue,          Iroquoian languages; n.i.e.,,,x,,x,,x,35,,15,,20,
Mother tongue,        Kutenai,,,x,,x,,x,105,,55,,55,
Mother tongue,        Michif,,,x,,x,,x,465,,230,,235,
Mother tongue,        Salish languages,,,x,,x,,x,2305,,1130,,1180,
Mother tongue,          Comox,,,x,,x,,x,80,,45,,40,
Mother tongue,          Halkomelem,,,x,,x,,x,475,,225,,245,
Mother tongue,          Lillooet,,,x,,x,,x,315,,155,,155,
Mother tongue,          Okanagan,,,x,,x,,x,270,,135,,135,
Mother tongue,          Shuswap (Secwepemctsin),,,x,,x,,x,445,,225,,220,
Mother tongue,          Squamish,,,x,,x,,x,40,,20,,20,
Mother tongue,          Straits,,,x,,x,,x,80,,40,,40,
Mother tongue,          Thompson (Ntlakapamux),,,x,,x,,x,335,,150,,185,
Mother tongue,          Salish languages; n.i.e.,,,x,,x,,x,255,,135,,125,
Mother tongue,        Siouan languages,,,x,,x,,x,4285,,2070,,2220,
Mother tongue,          Dakota,,,x,,x,,x,1215,,570,,635,
Mother tongue,          Stoney,,,x,,x,,x,3025,,1465,,1555,
Mother tongue,          Siouan languages; n.i.e.,,,x,,x,,x,55,,30,,25,
Mother tongue,        Tlingit,,,x,,x,,x,95,,40,,55,
Mother tongue,        Tsimshian languages,,,x,,x,,x,1480,,730,,755,
Mother tongue,          Gitxsan (Gitksan),,,x,,x,,x,880,,435,,445,
Mother tongue,          Nisga'a,,,x,,x,,x,400,,200,,200,
Mother tongue,          Tsimshian,,,x,,x,,x,200,,90,,110,
Mother tongue,        Wakashan languages,,,x,,x,,x,805,,370,,435,
Mother tongue,          Haisla,,,x,,x,,x,90,,40,,50,
Mother tongue,          Heiltsuk,,,x,,x,,x,95,,40,,55,
Mother tongue,          Kwakiutl (Kwak'wala),,,x,,x,,x,325,,145,,185,
Mother tongue,          Nuu-chah-nulth (Nootka),,,x,,x,,x,285,,135,,140,
Mother tongue,          Wakashan languages; n.i.e.,,,x,,x,,x,10,,5,,0,
Mother tongue,        Aboriginal languages; n.o.s.,,,x,,x,,x,585,,295,,295,
Mother tongue,      Non-Aboriginal languages,,,x,,x,,x,7125365,,3406425,,3718945,
Mother tongue,        Afro-Asiatic languages,,,x,,x,,x,575365,,298060,,277300,
Mother tongue,          Berber languages,,,x,,x,,x,22135,,11865,,10270,
Mother tongue,            Kabyle,,,x,,x,,x,13150,,6995,,6155,
Mother tongue,            Berber languages; n.i.e.,,,x,,x,,x,8985,,4865,,4115,
Mother tongue,          Cushitic languages,,,x,,x,,x,42885,,20095,,22790,
Mother tongue,            Bilen,,,x,,x,,x,805,,455,,350,
Mother tongue,            Oromo,,,x,,x,,x,4960,,2560,,2400,
Mother tongue,            Somali,,,x,,x,,x,36755,,16895,,19865,
Mother tongue,            Cushitic languages; n.i.e.,,,x,,x,,x,365,,195,,170,
Mother tongue,          Semitic languages,,,x,,x,,x,509190,,265465,,243725,
Mother tongue,            Amharic,,,x,,x,,x,22465,,10720,,11745,
Mother tongue,            Arabic,,,x,,x,,x,419890,,220785,,199105,
Mother tongue,            Assyrian Neo-Aramaic,,,x,,x,,x,16070,,7910,,8160,
Mother tongue,            Chaldean Neo-Aramaic,,,x,,x,,x,5545,,2780,,2770,
Mother tongue,            Harari,,,x,,x,,x,1320,,635,,685,
Mother tongue,            Hebrew,,,x,,x,,x,19530,,10480,,9045,
Mother tongue,            Maltese,,,x,,x,,x,5565,,2765,,2800,
Mother tongue,            Tigrigna,,,x,,x,,x,16650,,8310,,8340,
Mother tongue,            Semitic languages; n.i.e.,,,x,,x,,x,2155,,1085,,1070,
Mother tongue,          Afro-Asiatic languages; n.i.e.,,,x,,x,,x,1155,,635,,520,
Mother tongue,        Austro-Asiatic languages,,,x,,x,,x,176725,,81810,,94920,
Mother tongue,          Khmer (Cambodian),,,x,,x,,x,20130,,9270,,10860,
Mother tongue,          Vietnamese,,,x,,x,,x,156425,,72470,,83955,
Mother tongue,          Austro-Asiatic languages; n.i.e,,,x,,x,,x,170,,65,,100,
Mother tongue,        Austronesian languages,,,x,,x,,x,511480,,211580,,299900,
Mother tongue,          Bikol,,,x,,x,,x,1790,,790,,1000,
Mother tongue,          Cebuano,,,x,,x,,x,19890,,7930,,11960,
Mother tongue,          Fijian,,,x,,x,,x,745,,400,,345,
Mother tongue,          Hiligaynon,,,x,,x,,x,6885,,2680,,4205,
Mother tongue,          Ilocano,,,x,,x,,x,26345,,10620,,15720,
Mother tongue,          Malagasy,,,x,,x,,x,1430,,665,,760,
Mother tongue,          Malay,,,x,,x,,x,12275,,5255,,7020,
Mother tongue,          Pampangan (Kapampangan; Pampango),,,x,,x,,x,4040,,1865,,2175,
Mother tongue,          Pangasinan,,,x,,x,,x,1390,,590,,800,
Mother tongue,          Tagalog (Pilipino; Filipino),,,x,,x,,x,431380,,178575,,252810,
Mother tongue,          Waray-Waray,,,x,,x,,x,1110,,430,,675,
Mother tongue,          Austronesian languages; n.i.e.,,,x,,x,,x,4195,,1770,,2425,
Mother tongue,        Creole languages,,,x,,x,,x,72125,,32310,,39820,
Mother tongue,          Haitian Creole,,,x,,x,,x,3030,,1445,,1590,
Mother tongue,          Creole; n.o.s.,,,x,,x,,x,64105,,28455,,35660,
Mother tongue,          Creole languages; n.i.e.,,,x,,x,,x,4985,,2410,,2575,
Mother tongue,        Dravidian languages,,,x,,x,,x,189405,,94765,,94640,
Mother tongue,          Kannada,,,x,,x,,x,3970,,2040,,1935,
Mother tongue,          Malayalam,,,x,,x,,x,28570,,14770,,13800,
Mother tongue,          Tamil,,,x,,x,,x,140720,,69080,,71640,
Mother tongue,          Telugu,,,x,,x,,x,15655,,8640,,7020,
Mother tongue,          Dravidian languages; n.i.e.,,,x,,x,,x,490,,240,,250,
Mother tongue,        Hmong-Mien languages,,,x,,x,,x,795,,395,,405,
Mother tongue,        Indo-European languages,,,x,,x,,x,3877330,,1889400,,1987930,
Mother tongue,          Albanian,,,x,,x,,x,26890,,13610,,13285,
Mother tongue,          Armenian,,,x,,x,,x,33455,,16270,,17185,
Mother tongue,          Balto-Slavic languages,,,x,,x,,x,701975,,323640,,378340,
Mother tongue,            Baltic languages,,,x,,x,,x,12530,,5315,,7215,
Mother tongue,              Latvian,,,x,,x,,x,5455,,2350,,3105,
Mother tongue,              Lithuanian,,,x,,x,,x,7075,,2965,,4115,
Mother tongue,            Slavic languages,,,x,,x,,x,689450,,318325,,371115,
Mother tongue,              Belarusan,,,x,,x,,x,810,,385,,430,
Mother tongue,              Bosnian,,,x,,x,,x,12210,,6035,,6180,
Mother tongue,              Bulgarian,,,x,,x,,x,20025,,9675,,10345,
Mother tongue,              Croatian,,,x,,x,,x,48200,,23540,,24665,
Mother tongue,              Czech,,,x,,x,,x,22290,,10525,,11765,
Mother tongue,              Macedonian,,,x,,x,,x,16775,,8050,,8725,
Mother tongue,              Polish,,,x,,x,,x,181710,,82435,,99275,
Mother tongue,              Russian,,,x,,x,,x,188255,,85400,,102855,
Mother tongue,              Serbian,,,x,,x,,x,57350,,28535,,28815,
Mother tongue,              Serbo-Croatian,,,x,,x,,x,9555,,4565,,4985,
Mother tongue,              Slovak,,,x,,x,,x,17580,,8075,,9510,
Mother tongue,              Slovene (Slovenian),,,x,,x,,x,9790,,4415,,5370,
Mother tongue,              Ukrainian,,,x,,x,,x,102485,,45440,,57040,
Mother tongue,              Slavic languages; n.i.e.,,,x,,x,,x,2415,,1255,,1165,
Mother tongue,          Celtic languages,,,x,,x,,x,2690,,1335,,1360,
Mother tongue,            Scottish Gaelic,,,x,,x,,x,1090,,540,,550,
Mother tongue,            Welsh,,,x,,x,,x,1075,,495,,575,
Mother tongue,            Celtic languages; n.i.e.,,,x,,x,,x,530,,295,,235,
Mother tongue,          Germanic languages,,,x,,x,,x,538765,,258410,,280350,
Mother tongue,            Afrikaans,,,x,,x,,x,10265,,5115,,5145,
Mother tongue,            Danish,,,x,,x,,x,12630,,6245,,6390,
Mother tongue,            Dutch,,,x,,x,,x,99020,,48200,,50820,
Mother tongue,            Frisian,,,x,,x,,x,2100,,1095,,1005,
Mother tongue,            German,,,x,,x,,x,384035,,183215,,200820,
Mother tongue,            Icelandic,,,x,,x,,x,1285,,600,,685,
Mother tongue,            Norwegian,,,x,,x,,x,4615,,2170,,2445,
Mother tongue,            Swedish,,,x,,x,,x,6840,,3015,,3825,
Mother tongue,            Vlaams (Flemish),,,x,,x,,x,3895,,1730,,2165,
Mother tongue,            Yiddish,,,x,,x,,x,13555,,6750,,6800,
Mother tongue,            Germanic languages; n.i.e.,,,x,,x,,x,525,,280,,240,
Mother tongue,          Greek,,,x,,x,,x,106525,,53350,,53170,
Mother tongue,          Indo-Iranian languages,,,x,,x,,x,1312750,,664120,,648630,
Mother tongue,            Indo-Aryan languages,,,x,,x,,x,1064760,,538530,,526235,
Mother tongue,              Bengali,,,x,,x,,x,73125,,37410,,35720,
Mother tongue,              Gujarati,,,x,,x,,x,108780,,55105,,53670,
Mother tongue,              Hindi,,,x,,x,,x,110640,,55880,,54765,
Mother tongue,              Kashmiri,,,x,,x,,x,565,,300,,265,
Mother tongue,              Konkani,,,x,,x,,x,3330,,1625,,1710,
Mother tongue,              Marathi,,,x,,x,,x,8295,,4300,,3995,
Mother tongue,              Nepali,,,x,,x,,x,18275,,9230,,9045,
Mother tongue,              Oriya (Odia),,,x,,x,,x,1055,,560,,495,
Mother tongue,              Punjabi (Panjabi),,,x,,x,,x,501680,,253515,,248160,
Mother tongue,              Sindhi,,,x,,x,,x,11860,,5605,,6260,
Mother tongue,              Sinhala (Sinhalese),,,x,,x,,x,16335,,8050,,8285,
Mother tongue,              Urdu,,,x,,x,,x,210815,,106960,,103860,
Mother tongue,            Iranian languages,,,x,,x,,x,242805,,122835,,119970,
Mother tongue,              Kurdish,,,x,,x,,x,11705,,6345,,5355,
Mother tongue,              Pashto,,,x,,x,,x,16910,,8760,,8145,
Mother tongue,              Persian (Farsi),,,x,,x,,x,214200,,107725,,106470,
Mother tongue,            Indo-Iranian languages; n.i.e.,,,x,,x,,x,5180,,2755,,2425,
Mother tongue,          Italic (Romance) languages,,,x,,x,,x,1154270,,558660,,595615,
Mother tongue,            Catalan,,,x,,x,,x,865,,440,,425,
Mother tongue,            Italian,,,x,,x,,x,375635,,184415,,191220,
Mother tongue,            Portuguese,,,x,,x,,x,221540,,106630,,114910,
Mother tongue,            Romanian,,,x,,x,,x,96665,,46195,,50470,
Mother tongue,            Spanish,,,x,,x,,x,458850,,220605,,238245,
Mother tongue,            Italic (Romance) languages; n.i.e.,,,x,,x,,x,720,,380,,340,
Mother tongue,        Japanese,,,x,,x,,x,43640,,14790,,28855,
Mother tongue,        Kartvelian languages,,,x,,x,,x,1715,,910,,805,
Mother tongue,          Georgian,,,x,,x,,x,1715,,910,,805,
Mother tongue,        Korean,,,x,,x,,x,153425,,70310,,83115,
Mother tongue,        Mongolic languages,,,x,,x,,x,1575,,690,,885,
Mother tongue,          Mongolian,,,x,,x,,x,1575,,690,,880,
Mother tongue,        Niger-Congo languages,,,x,,x,,x,91375,,45075,,46305,
Mother tongue,          Akan (Twi),,,x,,x,,x,13455,,6490,,6970,
Mother tongue,          Bamanankan,,,x,,x,,x,1535,,815,,720,
Mother tongue,          Edo,,,x,,x,,x,1670,,770,,900,
Mother tongue,          Ewe,,,x,,x,,x,1760,,950,,805,
Mother tongue,          Fulah (Pular; Pulaar; Fulfulde),,,x,,x,,x,2825,,1495,,1335,
Mother tongue,          Ga,,,x,,x,,x,920,,445,,470,
Mother tongue,          Ganda,,,x,,x,,x,1295,,625,,665,
Mother tongue,          Igbo,,,x,,x,,x,4235,,2265,,1970,
Mother tongue,          Lingala,,,x,,x,,x,3810,,1785,,2025,
Mother tongue,          Rundi (Kirundi),,,x,,x,,x,5845,,2785,,3060,
Mother tongue,          Kinyarwanda (Rwanda),,,x,,x,,x,5250,,2355,,2895,
Mother tongue,          Shona,,,x,,x,,x,3180,,1520,,1665,
Mother tongue,          Swahili,,,x,,x,,x,13370,,6385,,6990,
Mother tongue,          Wolof,,,x,,x,,x,3990,,2170,,1820,
Mother tongue,          Yoruba,,,x,,x,,x,9085,,4785,,4300,
Mother tongue,          Niger-Congo languages; n.i.e.,,,x,,x,,x,19135,,9435,,9695,
Mother tongue,        Nilo-Saharan languages,,,x,,x,,x,5870,,3025,,2845,
Mother tongue,          Dinka,,,x,,x,,x,2120,,1115,,1000,
Mother tongue,          Nilo-Saharan languages; n.i.e.,,,x,,x,,x,3755,,1910,,1840,
Mother tongue,        Sign languages,,,x,,x,,x,7500,,3925,,3575,
Mother tongue,          American Sign Language,,,x,,x,,x,2685,,1320,,1360,
Mother tongue,          Quebec Sign Language,,,x,,x,,x,695,,340,,355,
Mother tongue,          Sign languages; n.i.e,,,x,,x,,x,4120,,2265,,1860,
Mother tongue,        Sino-Tibetan languages,,,x,,x,,x,1269215,,589570,,679645,
Mother tongue,          Chinese languages,,,x,,x,,x,1253360,,581650,,671715,
Mother tongue,            Cantonese,,,x,,x,,x,565270,,262865,,302405,
Mother tongue,            Hakka,,,x,,x,,x,10910,,4900,,6015,
Mother tongue,            Mandarin,,,x,,x,,x,592040,,274630,,317410,
Mother tongue,            Min Dong,,,x,,x,,x,1230,,580,,650,
Mother tongue,            Min Nan (Chaochow; Teochow; Fukien; Taiwanese),,,x,,x,,x,31795,,14450,,17350,
Mother tongue,            Wu (Shanghainese),,,x,,x,,x,12915,,5780,,7140,
Mother tongue,            Chinese; n.o.s.,,,x,,x,,x,38580,,18165,,20410,
Mother tongue,            Chinese languages; n.i.e.,,,x,,x,,x,610,,275,,335,
Mother tongue,          Tibeto-Burman languages,,,x,,x,,x,15850,,7925,,7935,
Mother tongue,            Burmese,,,x,,x,,x,3585,,1795,,1790,
Mother tongue,            Karenic languages,,,x,,x,,x,4705,,2355,,2350,
Mother tongue,            Tibetan,,,x,,x,,x,6165,,3080,,3080,
Mother tongue,            Tibeto-Burman languages; n.i.e.,,,x,,x,,x,1400,,695,,705,
Mother tongue,        Tai-Kadai languages,,,x,,x,,x,22010,,8870,,13145,
Mother tongue,          Lao,,,x,,x,,x,12670,,6145,,6525,
Mother tongue,          Thai,,,x,,x,,x,9255,,2690,,6565,
