Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Family characteristics,    1 child,,805,,,...,,...,1650165,,,...,,...
Family characteristics,    2 children,,630,,,...,,...,1783080,,,...,,...
Family characteristics,    3 or more children,,270,,,...,,...,770375,,,...,,...
Family characteristics,Total - Lone-parent census families in private households - 100% data,,1075,,,...,,...,1612805,,,...,,...
Family characteristics,  1 child,,680,,,...,,...,983485,,,...,,...
Family characteristics,  2 children,,300,,,...,,...,457670,,,...,,...
Family characteristics,  3 or more children,,90,,,...,,...,171655,,,...,,...
Family characteristics,Total - Persons not in census families in private households - 100% data,,7660,,4305,,3355,,6107260,,2941395,,3165865,
Household type,Total - Private households by household type - 100% data,12,10305,,,...,,...,14072075,,,...,,...
Household type,  One-census-family households,,4405,,,...,,...,9218225,,,...,,...
Household type,    Without children in a census family,13,1730,,,...,,...,3782095,,,...,,...
Household type,    With children in a census family,14,2675,,,...,,...,5436135,,,...,,...
Household type,  Multiple-census-family households,,80,,,...,,...,301715,,,...,,...
Household type,  Non-census-family households,,5830,,,...,,...,4552135,,,...,,...
Household type,    One-person households,,4690,,,...,,...,3969790,,,...,,...
Household type,    Two-or-more person non-census-family households,,1135,,,...,,...,582350,,,...,,...
Knowledge of official languages,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,15,20510,,10790,,9725,,34767255,,17101170,,17666080,
Knowledge of official languages,  English only,,17685,,9385,,8300,,23757525,,11838075,,11919455,
Knowledge of official languages,  French only,,45,,15,,30,,4144685,,1925845,,2218840,
Knowledge of official languages,  English and French,,2165,,1160,,1005,,6216065,,3071325,,3144740,
Knowledge of official languages,  Neither English nor French,,610,,225,,385,,648970,,265920,,383045,
First official language spoken,Total - First official language spoken for the total population excluding institutional residents - 100% data,16,20510,,10785,,9725,,34767250,,17101165,,17666085,
First official language spoken,  English,,19225,,10190,,9030,,26007500,,12852330,,13155165,
First official language spoken,  French,,490,,265,,230,,7705755,,3780105,,3925650,
First official language spoken,  English and French,,195,,115,,85,,417485,,209130,,208355,
First official language spoken,  Neither English nor French,,595,,220,,380,,636515,,259600,,376910,
First official language spoken,Official language minority (number),17,595,,320,,270,,7914495,,3884670,,4029825,
First official language spoken,Official language minority (percentage),17,2.9,,3,,2.8,,22.8,,22.7,,22.8,
Mother tongue,Total - Mother tongue for the total population excluding institutional residents - 100% data,18,20510,,10790,,9725,,34767255,,17101170,,17666085,
Mother tongue,  Single responses,,19430,,10260,,9170,,33948620,,16702840,,17245775,
Mother tongue,    Official languages,,9845,,5485,,4360,,26627555,,13201620,,13425940,
Mother tongue,      English,,9430,,5255,,4175,,19460850,,9680125,,9780725,
Mother tongue,      French,,410,,230,,180,,7166705,,3521495,,3645215,
Mother tongue,    Non-official languages,,9590,,4775,,4815,,7321065,,3501220,,3819840,
Mother tongue,      Aboriginal languages,,10,,5,,5,,195700,,94795,,100900,
Mother tongue,        Algonquian languages,,10,,5,,0,,130450,,62930,,67520,
Mother tongue,          Blackfoot,,0,,0,,0,,2815,,1325,,1490,
Mother tongue,          Cree-Montagnais languages,,0,,0,,5,,88445,,42920,,45530,
Mother tongue,            Atikamekw,,0,,0,,0,,6150,,3135,,3015,
Mother tongue,            Montagnais (Innu),,5,,0,,0,,10230,,4885,,5350,
Mother tongue,            Moose Cree,,0,,0,,0,,100,,50,,55,
Mother tongue,            Naskapi,,0,,0,,0,,1205,,590,,620,
Mother tongue,            Northern East Cree,,0,,0,,0,,315,,125,,190,
Mother tongue,            Plains Cree,,0,,0,,0,,3065,,1360,,1710,
Mother tongue,            Southern East Cree,,0,,0,,0,,45,,20,,25,
Mother tongue,            Swampy Cree,,0,,0,,0,,1440,,585,,850,
Mother tongue,            Woods Cree,,0,,0,,0,,1840,,865,,975,
Mother tongue,            Cree; n.o.s.,,0,,0,,0,,64050,,31305,,32745,
Mother tongue,          Eastern Algonquian languages,,0,,0,,0,,6990,,3310,,3680,
Mother tongue,            Malecite,,0,,0,,0,,305,,140,,160,
Mother tongue,            Mi'kmaq,,0,,0,,0,,6690,,3170,,3520,
Mother tongue,          Ojibway-Potawatomi languages,,5,,5,,0,,32150,,15350,,16800,
Mother tongue,            Algonquin,,0,,0,,0,,1260,,590,,670,
Mother tongue,            Ojibway,,5,,0,,5,,17890,,8440,,9450,
Mother tongue,            Oji-Cree,,0,,0,,0,,12855,,6260,,6595,
Mother tongue,            Ottawa (Odawa),,0,,0,,0,,150,,65,,85,
Mother tongue,          Algonquian languages; n.i.e.,,0,,0,,0,,45,,25,,20,
Mother tongue,        Athabaskan languages,,0,,0,,0,,17365,,8325,,9045,
Mother tongue,          Northern Athabaskan languages,,0,,0,,0,,17315,,8310,,9010,
Mother tongue,            Babine (Wetsuwet'en),,0,,0,,0,,110,,55,,60,
Mother tongue,            Beaver,,0,,0,,0,,190,,85,,105,
Mother tongue,            Carrier,,0,,0,,0,,1025,,465,,565,
Mother tongue,            Chilcotin,,0,,0,,0,,660,,295,,360,
Mother tongue,            Dene,,0,,0,,0,,10700,,5185,,5515,
Mother tongue,            Dogrib (Tlicho),,0,,0,,0,,1645,,840,,815,
Mother tongue,            Gwich'in,,0,,0,,0,,260,,110,,145,
Mother tongue,            Sarsi (Sarcee),,0,,0,,0,,80,,25,,50,
Mother tongue,            Sekani,,0,,0,,0,,90,,45,,45,
Mother tongue,            Slavey-Hare languages,,0,,0,,0,,1995,,950,,1045,
Mother tongue,              North Slavey (Hare),,0,,0,,0,,765,,365,,400,
Mother tongue,              South Slavey,,0,,0,,0,,945,,455,,495,
Mother tongue,              Slavey; n.o.s.,,0,,0,,0,,280,,130,,150,
Mother tongue,            Tahltan languages,,0,,0,,0,,270,,135,,140,
Mother tongue,              Kaska (Nahani),,0,,0,,0,,180,,90,,90,
Mother tongue,              Tahltan,,0,,0,,0,,95,,40,,50,
Mother tongue,            Tutchone languages,,0,,0,,0,,290,,120,,170,
Mother tongue,              Northern Tutchone,,0,,0,,0,,215,,90,,135,
Mother tongue,              Southern Tutchone,,0,,0,,0,,70,,30,,40,
Mother tongue,          Athabaskan languages; n.i.e.,,0,,0,,0,,50,,20,,35,
Mother tongue,        Haida,,0,,0,,0,,75,,35,,40,
Mother tongue,        Inuit languages,,0,,0,,0,,36545,,18100,,18445,
Mother tongue,          Inuinnaqtun (Inuvialuktun),,0,,0,,0,,1025,,445,,575,
Mother tongue,          Inuktitut,,0,,0,,0,,35215,,17530,,17680,
Mother tongue,          Inuit languages; n.i.e.,,0,,0,,0,,315,,125,,185,
Mother tongue,        Iroquoian languages,,0,,0,,0,,1115,,485,,635,
Mother tongue,          Cayuga,,0,,0,,0,,45,,20,,20,
Mother tongue,          Mohawk,,0,,0,,0,,980,,430,,555,
Mother tongue,          Oneida,,0,,0,,0,,55,,20,,40,
Mother tongue,          Iroquoian languages; n.i.e.,,0,,0,,0,,35,,15,,20,
Mother tongue,        Kutenai,,0,,0,,0,,105,,55,,55,
Mother tongue,        Michif,,0,,0,,0,,465,,230,,235,
Mother tongue,        Salish languages,,0,,0,,0,,2305,,1130,,1180,
Mother tongue,          Comox,,0,,0,,0,,80,,45,,40,
Mother tongue,          Halkomelem,,0,,0,,0,,475,,225,,245,
Mother tongue,          Lillooet,,0,,0,,0,,315,,155,,155,
Mother tongue,          Okanagan,,0,,0,,0,,270,,135,,135,
Mother tongue,          Shuswap (Secwepemctsin),,0,,0,,0,,445,,225,,220,
Mother tongue,          Squamish,,0,,0,,0,,40,,20,,20,
Mother tongue,          Straits,,0,,0,,0,,80,,40,,40,
Mother tongue,          Thompson (Ntlakapamux),,0,,0,,0,,335,,150,,185,
Mother tongue,          Salish languages; n.i.e.,,0,,0,,0,,255,,135,,125,
Mother tongue,        Siouan languages,,0,,0,,0,,4285,,2070,,2220,
Mother tongue,          Dakota,,0,,0,,0,,1215,,570,,635,
Mother tongue,          Stoney,,0,,0,,0,,3025,,1465,,1555,
Mother tongue,          Siouan languages; n.i.e.,,0,,0,,0,,55,,30,,25,
Mother tongue,        Tlingit,,0,,0,,0,,95,,40,,55,
Mother tongue,        Tsimshian languages,,0,,0,,0,,1480,,730,,755,
Mother tongue,          Gitxsan (Gitksan),,0,,0,,0,,880,,435,,445,
Mother tongue,          Nisga'a,,0,,0,,0,,400,,200,,200,
Mother tongue,          Tsimshian,,0,,0,,0,,200,,90,,110,
Mother tongue,        Wakashan languages,,0,,0,,0,,805,,370,,435,
Mother tongue,          Haisla,,0,,0,,0,,90,,40,,50,
Mother tongue,          Heiltsuk,,0,,0,,0,,95,,40,,55,
Mother tongue,          Kwakiutl (Kwak'wala),,0,,0,,0,,325,,145,,185,
Mother tongue,          Nuu-chah-nulth (Nootka),,0,,0,,0,,285,,135,,140,
Mother tongue,          Wakashan languages; n.i.e.,,0,,0,,0,,10,,5,,0,
Mother tongue,        Aboriginal languages; n.o.s.,,0,,0,,0,,585,,295,,295,
Mother tongue,      Non-Aboriginal languages,,9580,,4770,,4815,,7125365,,3406425,,3718945,
Mother tongue,        Afro-Asiatic languages,,1065,,520,,545,,575365,,298060,,277300,
Mother tongue,          Berber languages,,15,,5,,10,,22135,,11865,,10270,
Mother tongue,            Kabyle,,15,,5,,10,,13150,,6995,,6155,
Mother tongue,            Berber languages; n.i.e.,,0,,0,,0,,8985,,4865,,4115,
Mother tongue,          Cushitic languages,,140,,60,,80,,42885,,20095,,22790,
Mother tongue,            Bilen,,0,,0,,0,,805,,455,,350,
Mother tongue,            Oromo,,30,,15,,10,,4960,,2560,,2400,
Mother tongue,            Somali,,105,,40,,60,,36755,,16895,,19865,
Mother tongue,            Cushitic languages; n.i.e.,,0,,0,,5,,365,,195,,170,
Mother tongue,          Semitic languages,,915,,455,,460,,509190,,265465,,243725,
Mother tongue,            Amharic,,350,,155,,200,,22465,,10720,,11745,
Mother tongue,            Arabic,,315,,190,,125,,419890,,220785,,199105,
Mother tongue,            Assyrian Neo-Aramaic,,0,,0,,0,,16070,,7910,,8160,
Mother tongue,            Chaldean Neo-Aramaic,,0,,0,,0,,5545,,2780,,2770,
Mother tongue,            Harari,,45,,15,,30,,1320,,635,,685,
Mother tongue,            Hebrew,,15,,10,,10,,19530,,10480,,9045,
Mother tongue,            Maltese,,5,,0,,5,,5565,,2765,,2800,
Mother tongue,            Tigrigna,,175,,80,,100,,16650,,8310,,8340,
Mother tongue,            Semitic languages; n.i.e.,,5,,5,,5,,2155,,1085,,1070,
Mother tongue,          Afro-Asiatic languages; n.i.e.,,5,,5,,0,,1155,,635,,520,
Mother tongue,        Austro-Asiatic languages,,125,,55,,65,,176725,,81810,,94920,
Mother tongue,          Khmer (Cambodian),,15,,0,,5,,20130,,9270,,10860,
Mother tongue,          Vietnamese,,110,,55,,60,,156425,,72470,,83955,
Mother tongue,          Austro-Asiatic languages; n.i.e,,0,,0,,0,,170,,65,,100,
Mother tongue,        Austronesian languages,,1990,,770,,1220,,511480,,211580,,299900,
Mother tongue,          Bikol,,0,,0,,5,,1790,,790,,1000,
Mother tongue,          Cebuano,,75,,25,,50,,19890,,7930,,11960,
Mother tongue,          Fijian,,0,,0,,0,,745,,400,,345,
Mother tongue,          Hiligaynon,,30,,15,,20,,6885,,2680,,4205,
Mother tongue,          Ilocano,,180,,60,,120,,26345,,10620,,15720,
Mother tongue,          Malagasy,,0,,0,,0,,1430,,665,,760,
Mother tongue,          Malay,,20,,10,,5,,12275,,5255,,7020,
Mother tongue,          Pampangan (Kapampangan; Pampango),,20,,10,,10,,4040,,1865,,2175,
Mother tongue,          Pangasinan,,5,,0,,5,,1390,,590,,800,
Mother tongue,          Tagalog (Pilipino; Filipino),,1640,,645,,995,,431380,,178575,,252810,
Mother tongue,          Waray-Waray,,5,,5,,0,,1110,,430,,675,
Mother tongue,          Austronesian languages; n.i.e.,,10,,5,,5,,4195,,1770,,2425,
Mother tongue,        Creole languages,,10,,10,,5,,72125,,32310,,39820,
Mother tongue,          Haitian Creole,,0,,0,,0,,3030,,1445,,1590,
Mother tongue,          Creole; n.o.s.,,5,,5,,0,,64105,,28455,,35660,
Mother tongue,          Creole languages; n.i.e.,,5,,0,,5,,4985,,2410,,2575,
Mother tongue,        Dravidian languages,,1025,,555,,465,,189405,,94765,,94640,
Mother tongue,          Kannada,,20,,15,,10,,3970,,2040,,1935,
Mother tongue,          Malayalam,,65,,40,,20,,28570,,14770,,13800,
Mother tongue,          Tamil,,785,,395,,390,,140720,,69080,,71640,
Mother tongue,          Telugu,,150,,105,,45,,15655,,8640,,7020,
Mother tongue,          Dravidian languages; n.i.e.,,10,,0,,0,,490,,240,,250,
Mother tongue,        Hmong-Mien languages,,0,,0,,0,,795,,395,,405,
Mother tongue,        Indo-European languages,,3795,,2130,,1665,,3877330,,1889400,,1987930,
Mother tongue,          Albanian,,40,,25,,15,,26890,,13610,,13285,
Mother tongue,          Armenian,,15,,5,,5,,33455,,16270,,17185,
Mother tongue,          Balto-Slavic languages,,650,,320,,335,,701975,,323640,,378340,
Mother tongue,            Baltic languages,,15,,10,,5,,12530,,5315,,7215,
Mother tongue,              Latvian,,5,,0,,0,,5455,,2350,,3105,
Mother tongue,              Lithuanian,,5,,5,,5,,7075,,2965,,4115,
Mother tongue,            Slavic languages,,640,,310,,325,,689450,,318325,,371115,
Mother tongue,              Belarusan,,0,,0,,0,,810,,385,,430,
Mother tongue,              Bosnian,,10,,5,,5,,12210,,6035,,6180,
Mother tongue,              Bulgarian,,20,,10,,5,,20025,,9675,,10345,
Mother tongue,              Croatian,,30,,15,,15,,48200,,23540,,24665,
Mother tongue,              Czech,,20,,10,,10,,22290,,10525,,11765,
Mother tongue,              Macedonian,,10,,5,,0,,16775,,8050,,8725,
Mother tongue,              Polish,,95,,45,,50,,181710,,82435,,99275,
Mother tongue,              Russian,,250,,115,,135,,188255,,85400,,102855,
Mother tongue,              Serbian,,125,,65,,60,,57350,,28535,,28815,
Mother tongue,              Serbo-Croatian,,5,,0,,5,,9555,,4565,,4985,
Mother tongue,              Slovak,,10,,5,,5,,17580,,8075,,9510,
Mother tongue,              Slovene (Slovenian),,0,,0,,5,,9790,,4415,,5370,
Mother tongue,              Ukrainian,,50,,25,,25,,102485,,45440,,57040,
Mother tongue,              Slavic languages; n.i.e.,,5,,5,,5,,2415,,1255,,1165,
Mother tongue,          Celtic languages,,5,,5,,5,,2690,,1335,,1360,
Mother tongue,            Scottish Gaelic,,0,,0,,0,,1090,,540,,550,
Mother tongue,            Welsh,,0,,0,,0,,1075,,495,,575,
Mother tongue,            Celtic languages; n.i.e.,,5,,5,,5,,530,,295,,235,
Mother tongue,          Germanic languages,,155,,90,,65,,538765,,258410,,280350,
Mother tongue,            Afrikaans,,5,,5,,5,,10265,,5115,,5145,
Mother tongue,            Danish,,5,,0,,0,,12630,,6245,,6390,
Mother tongue,            Dutch,,35,,20,,15,,99020,,48200,,50820,
Mother tongue,            Frisian,,0,,0,,0,,2100,,1095,,1005,
Mother tongue,            German,,85,,45,,40,,384035,,183215,,200820,
Mother tongue,            Icelandic,,5,,0,,5,,1285,,600,,685,
Mother tongue,            Norwegian,,10,,5,,5,,4615,,2170,,2445,
Mother tongue,            Swedish,,0,,5,,0,,6840,,3015,,3825,
Mother tongue,            Vlaams (Flemish),,0,,0,,0,,3895,,1730,,2165,
Mother tongue,            Yiddish,,10,,10,,0,,13555,,6750,,6800,
Mother tongue,            Germanic languages; n.i.e.,,0,,0,,0,,525,,280,,240,
Mother tongue,          Greek,,45,,35,,10,,106525,,53350,,53170,
Mother tongue,          Indo-Iranian languages,,2025,,1155,,870,,1312750,,664120,,648630,
Mother tongue,            Indo-Aryan languages,,1690,,950,,745,,1064760,,538530,,526235,
Mother tongue,              Bengali,,245,,130,,120,,73125,,37410,,35720,
Mother tongue,              Gujarati,,60,,40,,20,,108780,,55105,,53670,
Mother tongue,              Hindi,,285,,175,,115,,110640,,55880,,54765,
Mother tongue,              Kashmiri,,0,,0,,5,,565,,300,,265,
Mother tongue,              Konkani,,10,,0,,5,,3330,,1625,,1710,
Mother tongue,              Marathi,,45,,30,,20,,8295,,4300,,3995,
Mother tongue,              Nepali,,600,,320,,285,,18275,,9230,,9045,
Mother tongue,              Oriya (Odia),,20,,10,,10,,1055,,560,,495,
Mother tongue,              Punjabi (Panjabi),,95,,55,,35,,501680,,253515,,248160,
Mother tongue,              Sindhi,,5,,5,,0,,11860,,5605,,6260,
Mother tongue,              Sinhala (Sinhalese),,20,,10,,10,,16335,,8050,,8285,
Mother tongue,              Urdu,,305,,180,,120,,210815,,106960,,103860,
Mother tongue,            Iranian languages,,315,,190,,120,,242805,,122835,,119970,
Mother tongue,              Kurdish,,5,,0,,0,,11705,,6345,,5355,
Mother tongue,              Pashto,,65,,30,,25,,16910,,8760,,8145,
Mother tongue,              Persian (Farsi),,255,,160,,95,,214200,,107725,,106470,
Mother tongue,            Indo-Iranian languages; n.i.e.,,20,,15,,5,,5180,,2755,,2425,
Mother tongue,          Italic (Romance) languages,,860,,500,,360,,1154270,,558660,,595615,
Mother tongue,            Catalan,,0,,0,,0,,865,,440,,425,
Mother tongue,            Italian,,55,,30,,30,,375635,,184415,,191220,
Mother tongue,            Portuguese,,205,,125,,80,,221540,,106630,,114910,
Mother tongue,            Romanian,,60,,20,,35,,96665,,46195,,50470,
Mother tongue,            Spanish,,540,,325,,215,,458850,,220605,,238245,
Mother tongue,            Italic (Romance) languages; n.i.e.,,0,,0,,0,,720,,380,,340,
Mother tongue,        Japanese,,60,,25,,35,,43640,,14790,,28855,
Mother tongue,        Kartvelian languages,,5,,0,,5,,1715,,910,,805,
Mother tongue,          Georgian,,5,,0,,5,,1715,,910,,805,
Mother tongue,        Korean,,290,,135,,160,,153425,,70310,,83115,
Mother tongue,        Mongolic languages,,10,,5,,5,,1575,,690,,885,
Mother tongue,          Mongolian,,15,,5,,5,,1575,,690,,880,
Mother tongue,        Niger-Congo languages,,140,,60,,85,,91375,,45075,,46305,
Mother tongue,          Akan (Twi),,10,,5,,10,,13455,,6490,,6970,
Mother tongue,          Bamanankan,,0,,0,,0,,1535,,815,,720,
Mother tongue,          Edo,,0,,0,,0,,1670,,770,,900,
Mother tongue,          Ewe,,0,,0,,0,,1760,,950,,805,
Mother tongue,          Fulah (Pular; Pulaar; Fulfulde),,5,,0,,0,,2825,,1495,,1335,
Mother tongue,          Ga,,0,,0,,5,,920,,445,,470,
Mother tongue,          Ganda,,5,,5,,5,,1295,,625,,665,
Mother tongue,          Igbo,,5,,5,,0,,4235,,2265,,1970,
Mother tongue,          Lingala,,10,,5,,10,,3810,,1785,,2025,
Mother tongue,          Rundi (Kirundi),,15,,10,,10,,5845,,2785,,3060,
Mother tongue,          Kinyarwanda (Rwanda),,10,,0,,15,,5250,,2355,,2895,
Mother tongue,          Shona,,5,,0,,0,,3180,,1520,,1665,
Mother tongue,          Swahili,,25,,10,,15,,13370,,6385,,6990,
Mother tongue,          Wolof,,5,,5,,0,,3990,,2170,,1820,
Mother tongue,          Yoruba,,5,,0,,0,,9085,,4785,,4300,
Mother tongue,          Niger-Congo languages; n.i.e.,,25,,10,,15,,19135,,9435,,9695,
Mother tongue,        Nilo-Saharan languages,,10,,5,,5,,5870,,3025,,2845,
Mother tongue,          Dinka,,0,,0,,0,,2120,,1115,,1000,
Mother tongue,          Nilo-Saharan languages; n.i.e.,,10,,5,,5,,3755,,1910,,1840,
Mother tongue,        Sign languages,,5,,0,,5,,7500,,3925,,3575,
Mother tongue,          American Sign Language,,5,,0,,0,,2685,,1320,,1360,
Mother tongue,          Quebec Sign Language,,0,,0,,0,,695,,340,,355,
Mother tongue,          Sign languages; n.i.e,,5,,5,,0,,4120,,2265,,1860,
Mother tongue,        Sino-Tibetan languages,,825,,375,,445,,1269215,,589570,,679645,
Mother tongue,          Chinese languages,,750,,340,,405,,1253360,,581650,,671715,
Mother tongue,            Cantonese,,240,,100,,135,,565270,,262865,,302405,
Mother tongue,            Hakka,,25,,5,,15,,10910,,4900,,6015,
Mother tongue,            Mandarin,,395,,190,,210,,592040,,274630,,317410,
Mother tongue,            Min Dong,,0,,0,,5,,1230,,580,,650,
Mother tongue,            Min Nan (Chaochow; Teochow; Fukien; Taiwanese),,20,,10,,10,,31795,,14450,,17350,
Mother tongue,            Wu (Shanghainese),,10,,5,,5,,12915,,5780,,7140,
Mother tongue,            Chinese; n.o.s.,,55,,30,,30,,38580,,18165,,20410,
Mother tongue,            Chinese languages; n.i.e.,,0,,0,,0,,610,,275,,335,
Mother tongue,          Tibeto-Burman languages,,75,,35,,40,,15850,,7925,,7935,
Mother tongue,            Burmese,,10,,5,,5,,3585,,1795,,1790,
Mother tongue,            Karenic languages,,0,,0,,0,,4705,,2355,,2350,
Mother tongue,            Tibetan,,50,,25,,25,,6165,,3080,,3080,
